gene,ko_gene,log2fc,padj
HES1,GLI3,-1.2459004317319375,0.0010713552577813186
HK1,GLI3,0.5119872152626658,0.0010723152133866876
CLASP2,GLI3,0.35196434398116094,0.001221272771253723
AC021504.1,GLI3,0.503913202739859,0.0013062461426160965
ELMO1,GLI3,0.9100348052397158,0.0013089857880954625
NTM,GLI3,0.38551894781210494,0.0013999220638405419
GAP43,GLI3,0.1805112956667796,0.0014058031401154025
EMX2,GLI3,-1.1753848994488476,0.001527852852745485
ATP5MC2,GLI3,-0.2649988822654725,0.001582899159352803
SYNE1,GLI3,0.47638110545471524,0.0016100076199734303
FDPS,GLI3,-0.3178798742264699,0.0016423896769832958
RXRG,GLI3,0.72391071231957,0.0017029653411890777
RPS24,GLI3,-0.1910929143875446,0.0017826637067885015
STMN1,GLI3,0.20063505297457151,0.001808466950080856
ZC2HC1A,GLI3,0.36222301210793445,0.0019051411504458216
NSD3,GLI3,0.2354014420948456,0.0019636571238583755
MEIS2,GLI3,0.3197228356559927,0.002123341819289415
RUNX1T1,GLI3,0.5392521065824454,0.0021561779969436756
BEX1,GLI3,0.21458397539182528,0.002181632602789918
NEUROD6,GLI3,-1.6415426242532716,0.0021989002630054925
GABPB1-AS1,GLI3,0.31885440783898034,0.0022736544294073013
TMEM196,GLI3,0.6409679046684587,0.002520635966145157
MAPT,GLI3,0.290033846282004,0.002679035498955429
TERF2IP,GLI3,0.18837277930638008,0.0028155595175070047
ZFP14,GLI3,0.4075273834291958,0.0028405036208347667
RIPOR2,GLI3,0.547065357573518,0.0029667919207891913
TSHZ1,GLI3,0.7866142634426749,0.0032296786721515147
RPS8,GLI3,-0.17841920778437093,0.0032711509515120905
DIRAS3,GLI3,1.1296635170505485,0.003272092791301695
FSIP2,GLI3,0.341771086282571,0.003290527782373154
PRDX1,GLI3,-0.32772678470243277,0.0034522140632287173
ATF7IP,GLI3,0.34230792302849017,0.003473760009397253
SCN3B,GLI3,0.44756411438935095,0.0035235038735521584
CHD5,GLI3,0.6530067200854484,0.0035407526422623903
GAS1,GLI3,-1.437638885593957,0.003930504345799802
CDKN2D,GLI3,0.27967413843120725,0.004292601755991221
ATRNL1,GLI3,0.5670633314417044,0.004353189060299023
RPL36,GLI3,-0.1931387177716548,0.0043551501287903945
PCLO,GLI3,0.32744835791210863,0.00444316592474614
MARCKS,GLI3,0.14798997843872197,0.004446276303490926
SEZ6L2,GLI3,0.285757797552632,0.004493448181224657
SSBP2,GLI3,0.34282468643446007,0.004716975262464729
SMARCA2,GLI3,0.44830482185324905,0.004767071757029839
RPS4X,GLI3,-0.14837108573568702,0.00479249032582811
